,Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
27,Chicken Burger,1,1,292,15.0,18.0,0.62,13.0,859.0,315.0,20.0,1.3,0,0.0
28,Cheese Burger,0,1,256,12.0,13.0,2.78,92.0,660.0,178.0,25.0,1.4,0,0.0
29,Chicken Sandwich,1,1,257,12.0,15.0,1.32,92.0,605.0,256.0,23.0,1.2,0,5.0
30,Sugar Doughnuts,0,1,426,23.0,5.2,1.06,60.0,402.0,102.0,51.0,1.5,0,32.0
31,Chocolate Doughnuts,0,1,452,25.0,4.9,4.0,24.0,326.0,201.0,51.0,1.9,0,27.0
32,Pop Corn - Caramel,0,0,381,1.4,2.0,0.8,18.0,286.0,110.0,90.0,2.5,0,65.0
33,Pop Corn,0,0,429,9.5,13.0,2.28,11.0,490.0,241.0,73.0,14.0,0,0.5
34,Dosa,0,0,168,3.7,4.5,8.0,0.7,94.0,76.0,29.0,0.9,0,0.1
35,Idli,0,0,156,1.7,5.0,17.2,4.0,207.0,63.0,30.2,2.1,0,0.74
37,Chappati,0,0,297,7.5,11.0,3.01,93.0,409.0,266.0,46.0,4.9,0,2.7
38,Tomato,0,0,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0,2.63
39,Yogurt,0,0,60,4.0,3.1,0.08,183.0,70.0,234.0,7.0,0.0,1,7.0
41,Noodles,0,1,108,0.2,1.8,0.14,4.0,19.0,4.0,24.0,1.0,0,0.0
42,Uttapam,0,0,188,7.2,4.4,24.0,6.4,522.0,91.0,26.4,2.2,0,0.24
44,Dal Makhani,0,0,109,8.5,2.1,35.2,8.3,243.0,366.0,6.3,1.5,0,3.29
46,Mushrooms,0,0,22,0.3,3.1,0.5,3.0,5.0,318.0,3.3,1.0,7,2.0
49,Boiled Potatoes,0,0,87,0.1,1.9,0.31,5.0,240.0,379.0,20.0,2.0,0,0.9
50,White Rice,0,0,360,0.6,6.6,4.36,9.0,1.0,86.0,79.0,1.4,0,0.0
52,Greek yogurt plain,0,0,73,1.9,10.0,0.04,115.0,34.0,141.0,3.9,0.0,0,3.6
56,Cottage cheese with vegetables,0,0,95,4.2,11.0,0.1,56.0,403.0,86.0,3.0,0.1,0,0.4
57,Salmon,1,0,127,4.4,21.0,0.38,7.0,75.0,366.0,0.0,0.0,435,0.0
59,Beans,0,0,31,0.2,1.8,1.03,37.0,6.0,211.0,7.0,2.7,0,3.3
60,Lentils,0,0,101,0.5,8.8,3.1,14.0,246.0,284.0,21.0,0.0,0,0.0
61,Pasta with corn homemade,0,0,126,0.7,2.6,0.25,1.0,0.0,31.0,28.0,4.8,0,0.0
66,Goat meat,1,0,109,2.3,21.0,2.83,13.0,82.0,385.0,57.0,0.0,0,0.0
67,Rabbit meat,1,0,114,2.3,22.0,3.2,12.0,50.0,378.0,0.0,0.0,0,0.0
68,Chicken Strips,1,0,295,15.0,19.0,0.72,11.0,798.0,334.0,22.0,1.1,0,0.3
69,Steak Fries,1,1,255,13.0,3.3,0.69,19.0,43.0,551.0,31.0,3.5,0,0.9
70,Mexican Rice,0,0,195,4.9,3.6,1.18,39.0,677.0,131.0,34.0,1.1,0,1.4
71,Fried Shrimp,1,1,319,20.0,14.0,1.54,47.0,1400.0,128.0,21.0,1.5,0,0.8
72,Spaghetti and meatballs,1,1,170,8.5,7.8,1.29,45.0,351.0,206.0,16.0,1.5,0,2.0
73,Macroni n Cheese ,0,0,194,12.0,6.5,57.0,145.0,375.0,127.0,16.0,1.1,0,2.8
74,Pork cooked,1,0,297,21.0,26.0,1.29,22.0,73.0,362.0,0.0,0.0,0,0.0
75,Bacon cooked,1,0,146,2.8,28.0,0.56,7.0,993.0,999.0,1.8,0.0,0,1.2
76,Nachos,0,0,350,22.0,4.3,0.75,63.0,313.0,362.0,35.0,3.2,0,2.2
77,Chicken Popcorn,1,0,351,22.0,18.0,1.42,32.0,1140.0,288.0,21.0,1.0,0,0.0
78,Turkey cooked,1,0,203,10.0,27.0,1.52,28.0,78.0,294.0,0.0,0.0,8,0.0
79,Oyster cooked,1,0,159,4.0,29.0,4.9,6.0,81.0,409.0,0.0,0.0,0,0.0
82,Honey,0,0,304,0.0,0.3,0.42,6.0,4.0,52.0,82.0,0.2,0,82.0
83,Chocolate Icecream,0,1,216,11.0,3.8,0.93,109.0,76.0,249.0,28.0,1.2,0,25.0
84,Vanilla Ice cream,0,1,207,11.0,3.5,0.09,128.0,80.0,199.0,24.0,0.7,0,21.0
85,Strawberry Icecream,0,1,192,8.4,3.2,0.21,120.0,60.0,188.0,28.0,0.9,0,0.0
86,Marshmallows,0,1,318,0.2,1.8,0.23,3.0,80.0,5.0,81.0,0.1,0,58.0
88,Rice Pudding,0,0,376,0.1,2.7,1.79,14.0,366.0,5.0,91.0,0.7,0,0.0
103,gundruk,0,0,180,12.0,4.0,0.018,18.0,1000.0,5.0,12.0,0.0,0,0.0
104,Dhido,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
105,Aloo Tama,0,0,482,20.0,10.0,0.702,1250.0,0.0,0.0,65.5,0.8,0,0.1
106,chicken sekuwa,1,0,450,8.0,33.0,0.0,0.0,700.0,0.0,63.0,0.0,0,4.0
107,chicken choilaa,1,0,541,40.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
108,kachila,1,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
109,churpii,0,0,20,1.5,2.0,0.0,60.0,82.0,0.0,0.0,0.0,0,0.0
110,sisnu shoop,0,0,37,0.1,2.4,1.458,428.0,3.6,297.3,6.7,6.1,0,0.2
111,kheer,0,0,282,6.8,8.0,0.0,400.0,83.0,19.0,47.6,0.2,0,43.7
112,juju dhau,0,0,200,9.0,20.0,0.0,600.0,180.0,0.0,12.0,0.0,0,12.0
114,lassi,0,0,154,4.5,2.6,0.9,300.0,0.0,0.0,25.0,0.0,0,15.0
116,Sukuti,0,0,289,6.7,53.9,0.0,0.0,3.7,0.0,3.3,0.0,0,1.5
117,Rajhma,0,0,151,7.1,7.0,2.196,65.0,167.4,362.4,24.2,0.0,0,3.7
118,Kwati,0,0,82,3.4,2.5,1.35,28.0,360.21,123.1,8.7,2.4,0,2.9
119,Mustard Green(Rayo ko sagg),0,0,15,0.2,1.6,0.72,60.0,11.0,215.0,2.6,1.8,0,0.7
120,Masyaura,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
123,puri,0,0,107,3.4,2.7,0.9,10.0,247.0,58.0,16.8,1.7,0,0.1
124,Dahi puri chat,0,1,489,5.0,16.0,1.26,500.0,745.0,773.0,30.0,1.0,0,20.0
125,aloo paratha,0,0,329,6.2,9.1,3.06,50.0,15.0,982.0,62.3,10.1,0,3.9
126,onion pakauda,0,0,80,4.8,1.1,0.4,58.0,30.6,0.4,8.2,0.4,0,0.6
130,Rikikur,0,1,268,14.8,6.1,1.674,32.0,764.0,622.0,27.8,3.3,0,1.8
131,Bhatmas Sadeko,0,0,445,13.0,8.8,0.0,0.0,0.0,0.0,73.7,0.0,0,0.0
134,pakku,0,0,34,0.8,6.0,0.0,0.0,354.0,0.0,0.8,0.0,0,0.8
136,Tareko machha,1,0,160,6.0,20.0,3.6,100.0,50.0,450.0,9.0,5.0,0,0.01
137,Dhal Bhatt,0,0,350,0.7,3.2,0.001,48.0,2.0,30.0,0.4,0.1,0,0.2
138,Golmedako Aachar,0,0,4,0.3,0.1,0.636,1.0,7.9,11.3,0.3,0.1,0,0.1
139,chamsur ko sagg,0,0,90,0.0,3.0,0.72,20.0,690.0,500.0,20.0,3.0,0,4.0
140,palungo,0,0,20,0.0,2.0,2.7,80.0,65.0,470.0,3.0,2.0,0,0.0
141,lattee ko sagg,0,0,110,4.0,8.0,0.0,0.0,0.0,0.0,10.6,0.0,0,0.0
142,Malpuwa,0,0,88,4.0,3.0,0.72,0.0,46.0,0.0,9.0,0.0,0,12.0
143,Buff Bhutun,1,0,141,6.7,5.0,0.0,0.0,170.1,0.0,15.2,0.0,0,0.6
145,Dhikri,0,0,204,2.0,4.0,0.0,0.0,0.0,0.0,42.0,0.0,0,0.0
146,kodo ko roti,0,0,325,1.0,7.0,0.0,0.0,5.0,0.0,72.0,12.0,0,0.0
147,fapher ko roti,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0,9.0
151,Tongba,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
154,chana masala,0,0,565,10.4,18.5,3.51,84.0,300.0,311.0,92.0,7.3,0,0.1
