,Food_items,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
34,Dosa,0,0,168,3.7,4.5,8.0,0.7,94.0,76.0,29.0,0.9,0,0.1
35,Idli,0,0,156,1.7,5.0,17.2,4.0,207.0,63.0,30.2,2.1,0,0.74
37,Chappati,0,0,297,7.5,11.0,3.01,93.0,409.0,266.0,46.0,4.9,0,2.7
38,Tomato,0,0,16,0.2,1.2,0.47,5.0,42.0,212.0,3.2,0.9,0,2.63
39,Yogurt,0,0,60,4.0,3.1,0.08,183.0,70.0,234.0,7.0,0.0,1,7.0
41,Noodles,0,1,108,0.2,1.8,0.14,4.0,19.0,4.0,24.0,1.0,0,0.0
42,Uttapam,0,0,188,7.2,4.4,24.0,6.4,522.0,91.0,26.4,2.2,0,0.24
44,Dal Makhani,0,0,109,8.5,2.1,35.2,8.3,243.0,366.0,6.3,1.5,0,3.29
46,Mushrooms,0,0,22,0.3,3.1,0.5,3.0,5.0,318.0,3.3,1.0,7,2.0
48,Sweet Potatoes cooked,0,0,76,0.1,1.4,0.72,27.0,27.0,230.0,18.0,2.5,0,5.7
49,Boiled Potatoes,0,0,87,0.1,1.9,0.31,5.0,240.0,379.0,20.0,2.0,0,0.9
50,White Rice,0,0,360,0.6,6.6,4.36,9.0,1.0,86.0,79.0,1.4,0,0.0
52,Greek yogurt plain,0,0,73,1.9,10.0,0.04,115.0,34.0,141.0,3.9,0.0,0,3.6
56,Cottage cheese with vegetables,0,0,95,4.2,11.0,0.1,56.0,403.0,86.0,3.0,0.1,0,0.4
57,Salmon,1,0,127,4.4,21.0,0.38,7.0,75.0,366.0,0.0,0.0,435,0.0
59,Beans,0,0,31,0.2,1.8,1.03,37.0,6.0,211.0,7.0,2.7,0,3.3
60,Lentils,0,0,101,0.5,8.8,3.1,14.0,246.0,284.0,21.0,0.0,0,0.0
61,Pasta with corn homemade,0,0,126,0.7,2.6,0.25,1.0,0.0,31.0,28.0,4.8,0,0.0
65,Quninoa,0,0,120,1.9,4.4,1.49,17.0,7.0,172.0,21.0,2.8,0,0.9
66,Goat meat,1,0,109,2.3,21.0,2.83,13.0,82.0,385.0,57.0,0.0,0,0.0
67,Rabbit meat,1,0,114,2.3,22.0,3.2,12.0,50.0,378.0,0.0,0.0,0,0.0
69,Steak Fries,1,1,255,13.0,3.3,0.69,19.0,43.0,551.0,31.0,3.5,0,0.9
70,Mexican Rice,0,0,195,4.9,3.6,1.18,39.0,677.0,131.0,34.0,1.1,0,1.4
73,Macroni n Cheese ,0,0,194,12.0,6.5,57.0,145.0,375.0,127.0,16.0,1.1,0,2.8
76,Nachos,0,0,350,22.0,4.3,0.75,63.0,313.0,362.0,35.0,3.2,0,2.2
77,Chicken Popcorn,1,0,351,22.0,18.0,1.42,32.0,1140.0,288.0,21.0,1.0,0,0.0
78,Turkey cooked,1,0,203,10.0,27.0,1.52,28.0,78.0,294.0,0.0,0.0,8,0.0
79,Oyster cooked,1,0,159,4.0,29.0,4.9,6.0,81.0,409.0,0.0,0.0,0,0.0
89,Steamed Buff momos,1,1,590,30.0,30.0,0.0,0.0,3130.0,0.0,70.0,1.0,0,0.0
90,Steamed chicken Momo,1,1,565,13.0,26.6,0.0,0.0,2500.0,0.0,85.0,1.6,0,1.6
91,Fried Chicken momos,1,1,812,33.8,45.2,0.0,0.0,2500.0,0.0,80.8,0.0,0,0.0
92,fried buff momos,1,1,620,22.0,34.0,1.122,0.17,112.0,1021.0,72.0,4.0,0,4.0
93,steamed veg momo,0,1,352,8.0,18.0,0.0,0.0,1112.0,275.0,52.0,4.0,0,46.0
94,chowmin,0,1,191,3.6,7.7,0.0,0.0,19506.0,0.0,31.8,0.0,0,12.6
95,current Noodles,0,1,485,22.0,10.0,1.5,12.0,1150.0,115.0,63.0,0.8,0,0.0
96,Thukpa,0,1,200,1.0,13.0,3.12,0.0,7.0,0.0,36.0,11.0,0,6.0
97,somosas,0,1,51,2.6,0.9,0.0,0.0,0.0,0.0,5.9,0.9,0,0.0
98,pani puri,0,1,25,1.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0
99,Chatpate,0,1,172,12.8,7.3,0.0,0.0,5.7,0.0,6.7,0.0,0,2.8
100,chatamari,0,1,176,12.9,7.0,0.0,0.0,4.8,0.0,7.0,0.0,0,1.9
101,selroti,0,1,83,4.8,0.5,2.241,0.498,0.6,0.0,18.5,0.6,0,2.7
102,Yomari,0,1,115,1.2,2.2,2.241,1.495,11.7,0.0,22.7,0.0,0,0.0
103,gundruk,0,0,180,12.0,4.0,0.018,18.0,1000.0,5.0,12.0,0.0,0,0.0
104,Dhido,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
105,Aloo Tama,0,0,482,20.0,10.0,0.702,1250.0,0.0,0.0,65.5,0.8,0,0.1
106,chicken sekuwa,1,0,450,8.0,33.0,0.0,0.0,700.0,0.0,63.0,0.0,0,4.0
107,chicken choilaa,1,0,541,40.0,43.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
108,kachila,1,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
109,churpii,0,0,20,1.5,2.0,0.0,60.0,82.0,0.0,0.0,0.0,0,0.0
112,juju dhau,0,0,200,9.0,20.0,0.0,600.0,180.0,0.0,12.0,0.0,0,12.0
113,jeri,0,0,200,2.0,1.2,0.0,0.0,1.0,25.0,31.0,0.3,0,20.1
114,lassi,0,0,154,4.5,2.6,0.9,300.0,0.0,0.0,25.0,0.0,0,15.0
115,Barfi,0,0,84,4.0,1.0,0.0,50.0,1.0,25.0,10.0,0.0,0,13.0
116,Sukuti,0,0,289,6.7,53.9,0.0,0.0,3.7,0.0,3.3,0.0,0,1.5
117,Rajhma,0,0,151,7.1,7.0,2.196,65.0,167.4,362.4,24.2,0.0,0,3.7
118,Kwati,0,0,82,3.4,2.5,1.35,28.0,360.21,123.1,8.7,2.4,0,2.9
119,Mustard Green(Rayo ko sagg),0,0,15,0.2,1.6,0.72,60.0,11.0,215.0,2.6,1.8,0,0.7
120,Masyaura,0,0,100,1.0,50.0,18.0,1000.0,5.0,26.0,1.0,0.0,0,0.0
122,dhungri,0,0,142,7.2,1.4,0.0,0.0,0.0,0.0,17.9,0.0,0,0.0
123,puri,0,0,107,3.4,2.7,0.9,10.0,247.0,58.0,16.8,1.7,0,0.1
124,Dahi puri chat,0,1,489,5.0,16.0,1.26,500.0,745.0,773.0,30.0,1.0,0,20.0
125,aloo paratha,0,0,329,6.2,9.1,3.06,50.0,15.0,982.0,62.3,10.1,0,3.9
126,onion pakauda,0,0,80,4.8,1.1,0.4,58.0,30.6,0.4,8.2,0.4,0,0.6
127,shapaley,0,1,100,1.0,50.1,18.0,1002.0,5.0,26.0,1.0,0.0,0,0.0
128,chicken sausages,1,1,140,8.0,15.0,1.08,20.0,470.0,0.0,2.0,1.0,0,0.01
129,Buff Sausages,1,1,250,19.0,0.0,1.8,0.0,1134.0,145.0,0.0,19.0,0,0.0
130,Rikikur,0,1,268,14.8,6.1,1.674,32.0,764.0,622.0,27.8,3.3,0,1.8
131,Bhatmas Sadeko,0,0,445,13.0,8.8,0.0,0.0,0.0,0.0,73.7,0.0,0,0.0
132,Anda Bara,1,0,499,24.3,13.8,0.0,0.0,0.0,0.0,45.6,13.5,0,12.0
133,Mix Bara,0,0,112,1.5,12.6,0.0,0.0,0.0,0.0,8.1,4.0,0,0.0
134,pakku,0,0,34,0.8,6.0,0.0,0.0,354.0,0.0,0.8,0.0,0,0.8
135,Alu chop,0,0,215,20.0,1.0,0.36,10.0,30.0,0.0,9.0,1.0,0,1.0
136,Tareko machha,1,0,160,6.0,20.0,3.6,100.0,50.0,450.0,9.0,5.0,0,0.01
137,Dhal Bhatt,0,0,350,0.7,3.2,0.001,48.0,2.0,30.0,0.4,0.1,0,0.2
138,Golmedako Aachar,0,0,4,0.3,0.1,0.636,1.0,7.9,11.3,0.3,0.1,0,0.1
139,chamsur ko sagg,0,0,90,0.0,3.0,0.72,20.0,690.0,500.0,20.0,3.0,0,4.0
140,palungo,0,0,20,0.0,2.0,2.7,80.0,65.0,470.0,3.0,2.0,0,0.0
141,lattee ko sagg,0,0,110,4.0,8.0,0.0,0.0,0.0,0.0,10.6,0.0,0,0.0
143,Buff Bhutun,1,0,141,6.7,5.0,0.0,0.0,170.1,0.0,15.2,0.0,0,0.6
144,Keema Noodles,0,1,190,7.0,4.0,1.44,20.0,790.0,0.0,26.0,1.0,0,1.0
146,kodo ko roti,0,0,325,1.0,7.0,0.0,0.0,5.0,0.0,72.0,12.0,0,0.0
147,fapher ko roti,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0,9.0
148,peda,0,0,115,7.0,3.0,0.0,80.0,35.0,0.0,10.0,0.0,0,9.0
149,kafal,0,0,100,0.2,0.0,0.018,10.0,4.0,120.0,11.3,1.1,0,7.0
150,Gwaramari,0,0,190,0.5,7.0,0.27,60.0,450.0,0.0,39.0,1.0,0,0.0
152,Gulab jamun,0,0,143,7.5,2.2,0.36,90.0,40.0,105.0,17.0,0.0,0,16.0
153,wai wai noodles,0,1,270,9.0,7.0,0.72,20.0,930.0,0.0,41.0,2.0,0,2.0
154,chana masala,0,0,565,10.4,18.5,3.51,84.0,300.0,311.0,92.0,7.3,0,0.1
155,chini ko laddhu,0,0,5,0.3,0.1,0.018,0.0,0.3,3.8,0.6,0.0,0,0.3
157,Hide and Sick,0,0,750,27.0,9.0,2.7,0.0,165.0,0.0,120.0,0.0,0,63.0
158,Donuts,0,0,310,18.0,4.0,1.44,60.0,350.0,0.0,32.0,1.0,0,11.0
